run_id,split,n,positive_n,negative_n,auroc,auroc_ci_low,auroc_ci_high,auroc_bootstrap_samples,auprc,auprc_ci_low,auprc_ci_high,auprc_bootstrap_samples
byol_resnet18_phash_e25_finetune_10pct_e10,test,1589,893,696,0.9972101015561649,0.994934467817232,0.9990300281400708,2000,0.9982753267563631,0.9969374747434293,0.9993526909349006,2000
byol_resnet18_phash_e25_finetune_10pct_seed123_e10,test,1589,893,696,0.9916174331647167,0.9871426551849801,0.995319629648002,2000,0.9949036757357752,0.99249151062941,0.9968886324159407,2000
byol_resnet18_phash_e25_finetune_10pct_seed7_e10,test,1589,893,696,0.9937412312880515,0.989618531939411,0.9971670481884906,2000,0.9964223902587986,0.994292375142518,0.9981817244368291,2000
byol_resnet18_phash_e25_finetune_50pct_e10,test,1589,893,696,0.9984779446782769,0.9966194959609617,0.9999711263951855,2000,0.9991193152693502,0.9980181915148032,0.9999825223457561,2000
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,test,1589,893,696,0.9981754643394987,0.9961443417188124,0.9997659336449521,2000,0.9989203729841263,0.9977612689864725,0.9998339008279823,2000
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,test,1589,893,696,0.9976380790567762,0.995067984827562,0.9996800293483689,2000,0.9987053994554012,0.9972836378513678,0.99980513161492,2000
resnet18_supervised_phash_10pct_e10,test,1589,893,696,0.9988737434194437,0.9967278328134248,0.9999566278603466,2000,0.9994484161515635,0.9984424253199601,0.9999678473215183,2000
resnet18_supervised_phash_10pct_seed123_e10,test,1589,893,696,0.9989541903180549,0.9974137900101144,0.9998120011191454,2000,0.9993457205953722,0.9985091195289751,0.9998587530613074,2000
resnet18_supervised_phash_10pct_seed7_e10,test,1589,893,696,0.9973162914623315,0.995408210730272,0.9987522108012733,2000,0.998171367371687,0.9970367549969729,0.9990805985482406,2000
resnet18_supervised_phash_50pct_e10,test,1589,893,696,0.9990796874798883,0.9977914989299842,1.0,2000,0.9994285297662308,0.9986460492561198,1.0,2000
resnet18_supervised_phash_50pct_e5,test,1589,893,696,0.999481921972944,0.9987332250118386,1.0,2000,0.9996483219465855,0.9991509280259266,1.0,2000
resnet18_supervised_phash_50pct_seed123_e10,test,1589,893,696,0.9990603802242217,0.9978964658713508,1.0,2000,0.9994031754308166,0.9986020976191684,1.0,2000
resnet18_supervised_phash_50pct_seed7_e10,test,1589,893,696,0.9990957768596105,0.9977676425303557,1.0,2000,0.999438862611521,0.9986540963655014,1.0,2000
simclr_resnet18_phash_e25_finetune_10pct_e10,test,1589,893,696,0.9974804031354985,0.9947222431285638,0.9993889092341677,2000,0.9985376133176171,0.9970993870830349,0.9995820482690462,2000
simclr_resnet18_phash_e25_finetune_10pct_seed123_e10,test,1589,893,696,0.9961835991298863,0.9932348146622132,0.9984875241594842,2000,0.9977008961985303,0.9960376167449791,0.9989803360498056,2000
simclr_resnet18_phash_e25_finetune_10pct_seed7_e10,test,1589,893,696,0.9952504151059969,0.9920277665760588,0.9979804356404424,2000,0.9972126669451816,0.9953305623643248,0.9987013393986619,2000
simclr_resnet18_phash_e25_finetune_50pct_e10,test,1589,893,696,0.9990829053558327,0.9979930795347655,0.9999144768807383,2000,0.9993938917470722,0.9986941579619111,0.9999393774611465,2000
simclr_resnet18_phash_e25_finetune_50pct_e25,test,1589,893,696,0.9991730058822773,0.9980846705970056,1.0,2000,0.9994671328277482,0.998755930269215,1.0,2000
simclr_resnet18_phash_e25_finetune_50pct_seed123_e10,test,1589,893,696,0.9982687827418877,0.9961769243597405,0.9998424428086286,2000,0.9990122611687282,0.9978358039294969,0.9999042256652331,2000
simclr_resnet18_phash_e25_finetune_50pct_seed7_e10,test,1589,893,696,0.99851655918961,0.9965127405358896,0.9999904423968806,2000,0.9991658308083795,0.998062928942521,0.9999964953577785,2000
