run_id,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high
byol_resnet18_phash_e25_finetune_10pct_e10,0.9972101015561649,0.994934467817232,0.9990300281400708,0.9982753267563632,0.9969374747434292,0.9993526909349006
byol_resnet18_phash_e25_finetune_10pct_seed123_e10,0.9916174331647168,0.98714265518498,0.995319629648002,0.9949036757357752,0.99249151062941,0.9968886324159408
byol_resnet18_phash_e25_finetune_10pct_seed7_e10,0.9937412312880516,0.989618531939411,0.9971670481884906,0.9964223902587986,0.994292375142518,0.9981817244368292
byol_resnet18_phash_e25_finetune_50pct_e10,0.9984779446782768,0.9966194959609616,0.9999711263951856,0.9991193152693502,0.9980181915148032,0.999982522345756
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,0.9981754643394988,0.9961443417188124,0.999765933644952,0.9989203729841264,0.9977612689864724,0.9998339008279824
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,0.9976380790567762,0.995067984827562,0.9996800293483687,0.9987053994554012,0.9972836378513678,0.99980513161492
resnet18_supervised_phash_10pct_e10,0.9988737434194436,0.9967278328134248,0.9999566278603466,0.9994484161515635,0.99844242531996,0.9999678473215184
resnet18_supervised_phash_10pct_seed123_e10,0.9989541903180548,0.9974137900101144,0.9998120011191454,0.9993457205953722,0.9985091195289753,0.9998587530613074
resnet18_supervised_phash_10pct_seed7_e10,0.9973162914623316,0.995408210730272,0.9987522108012732,0.998171367371687,0.9970367549969728,0.9990805985482406
resnet18_supervised_phash_50pct_e10,0.9990796874798884,0.9977914989299842,1.0,0.9994285297662308,0.9986460492561198,1.0
resnet18_supervised_phash_50pct_e5,0.999481921972944,0.9987332250118386,1.0,0.9996483219465856,0.9991509280259266,1.0
resnet18_supervised_phash_50pct_seed123_e10,0.9990603802242216,0.9978964658713508,1.0,0.9994031754308166,0.9986020976191684,1.0
resnet18_supervised_phash_50pct_seed7_e10,0.9990957768596104,0.9977676425303555,1.0,0.999438862611521,0.9986540963655014,1.0
simclr_resnet18_phash_e25_finetune_10pct_e10,0.9974804031354984,0.9947222431285638,0.9993889092341676,0.9985376133176171,0.9970993870830348,0.9995820482690462
simclr_resnet18_phash_e25_finetune_10pct_seed123_e10,0.9961835991298864,0.9932348146622132,0.9984875241594842,0.9977008961985304,0.9960376167449791,0.9989803360498056
simclr_resnet18_phash_e25_finetune_10pct_seed7_e10,0.9952504151059968,0.9920277665760588,0.9979804356404424,0.9972126669451816,0.9953305623643248,0.998701339398662
simclr_resnet18_phash_e25_finetune_50pct_e10,0.9990829053558328,0.9979930795347656,0.9999144768807384,0.9993938917470722,0.9986941579619112,0.9999393774611464
simclr_resnet18_phash_e25_finetune_50pct_e25,0.9991730058822772,0.9980846705970056,1.0,0.9994671328277482,0.998755930269215,1.0
simclr_resnet18_phash_e25_finetune_50pct_seed123_e10,0.9982687827418876,0.9961769243597404,0.9998424428086286,0.9990122611687282,0.9978358039294968,0.9999042256652332
simclr_resnet18_phash_e25_finetune_50pct_seed7_e10,0.99851655918961,0.9965127405358896,0.9999904423968806,0.9991658308083796,0.998062928942521,0.9999964953577783
