method,label_fraction,epochs,n_seeds,seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,auroc_mean,auroc_std,f1_mean,f1_std,ece_mean,ece_std,selected_accuracy_mean,selected_accuracy_std,selected_balanced_accuracy_mean,selected_balanced_accuracy_std,selected_sensitivity_mean,selected_sensitivity_std,selected_specificity_mean,selected_specificity_std
simclr_e25_finetune,10pct,1,3,7 42 123,0.9366477868680513,0.021381674861820264,0.9422621882414522,0.019556121587727942,0.896976483762598,0.03588671972891847,0.9783844546558376,0.007227811645536868,0.940647907697509,0.020711112654305735,0.2549186060738458,0.02590514565311222,0.9391650933501153,0.01763612297628156,0.9418604900610538,0.022491457648229206,0.9201194475550579,0.020321997146422136,0.9636015325670497,0.06304399491151087
supervised_resnet18,10pct,1,3,7 42 123,0.9269981120201384,0.013715855706547162,0.9342051631892153,0.013128287633265895,0.876073161627473,0.020042394563133722,0.9765749357497437,0.015309013044013038,0.930918810696446,0.01336013774591202,0.29332022997526247,0.002934844898193218,0.9366477868680513,0.024938597593635686,0.9412056523063591,0.023456186307235533,0.9044419559537141,0.039723398010064914,0.9779693486590039,0.023403815561054826
simclr_e25_finetune,10pct,5,1,42,0.9307740717432348,0.0,0.9384098544232924,0.0,0.8768197088465846,0.0,0.989335959120104,0.0,0.9343675417661098,0.0,0.0567464368784761,0.0,0.9559471365638766,0.0,0.9589045063134726,0.0,0.93505039193729,0.0,0.9827586206896552,0.0
supervised_resnet18,10pct,5,1,42,0.9647577092511012,0.0,0.9686450167973124,0.0,0.9372900335946248,0.0,0.9982076430989432,0.0,0.9676300578034682,0.0,0.0189035287810591,0.0,0.9817495280050346,0.0,0.9815438725206268,0.0,0.9832026875699889,0.0,0.9798850574712644,0.0
byol_e25_finetune,10pct,10,3,7 42 123,0.9507027480595762,0.028607262008119777,0.9507520176082171,0.03043536588792158,0.9503546099290779,0.05500057123143608,0.9941895886696445,0.002823163684662475,0.955847298012182,0.02557986441294442,0.06812187129206124,0.01720108632753534,0.9674847912733374,0.017192638128519296,0.9672677658930892,0.020510720066441675,0.9690182904068684,0.015928770655731183,0.9655172413793104,0.050102286707364004
simclr_e25_finetune,10pct,10,3,7 42 123,0.9754562617998741,0.0018879798615482057,0.9765786899383456,0.0002817571515448024,0.9675251959686451,0.01579701677454187,0.9963048057904604,0.001119924079505273,0.9779097191853386,0.0020080202603346784,0.05822644814059997,0.011436106522617409,0.9758758128802182,0.008018256703845688,0.9745219308971866,0.009956372901470202,0.9854423292273236,0.0062348985026091375,0.9636015325670498,0.025755420804116344
supervised_resnet18,10pct,10,3,7 42 123,0.9794419970631424,0.0075080890153862235,0.977060835017355,0.008176800435710558,0.9962672639044419,0.0028181539512021144,0.9983814083999434,0.0009232949116964599,0.9819886798268272,0.006503438304266608,0.023505030124427232,0.0066233931624808,0.9832179567862388,0.014910304714845288,0.9832729445281093,0.014179887216196393,0.9828294139604331,0.020073653840610307,0.9837164750957855,0.008295262488356698
simclr_e25_finetune,25pct,1,3,7 42 123,0.9211243968953221,0.006428174300836763,0.9298245614035089,0.005719131558807081,0.8596491228070176,0.011438263117614426,0.9859389547480831,0.0019848382957967357,0.9245010890363862,0.006636463628466109,0.06326934858532987,0.019821424367027916,0.9452485840151038,0.010360023683545888,0.946955996619085,0.011087109418846252,0.9331840238895109,0.0109909905668798,0.960727969348659,0.020183244737265786
supervised_resnet18,25pct,1,3,7 42 123,0.9360184602475351,0.005847434388406275,0.9430757745427399,0.005202448624399574,0.8861515490854797,0.0104048972487991,0.9925162931785322,0.004428500374577685,0.9396183700520405,0.005831960857715425,0.0819567416808078,0.014693914552064044,0.9542689322425005,0.02454642748279431,0.9543474576634788,0.025782037769455875,0.9537140724150802,0.023310929445309457,0.9549808429118775,0.04067217192636422
simclr_e25_finetune,50pct,1,1,42,0.948395217117684,0.0,0.954087346024636,0.0,0.908174692049272,0.0,0.9892909088568818,0.0,0.9518779342723004,0.0,0.0576964069797866,0.0,0.9597230962869728,0.0,0.9641657334826428,0.0,0.9283314669652856,0.0,1.0,0.0
supervised_resnet18,50pct,1,1,42,0.9842668344870988,0.0,0.9860022396416572,0.0,0.9720044792833148,0.0,0.9991536986266104,0.0,0.9858035207268596,0.0,0.0277591939003642,0.0,0.9899307740717432,0.0,0.9910414333706608,0.0,0.9820828667413214,0.0,1.0,0.0
simclr_e25_finetune,50pct,5,1,42,0.9622404027690372,0.0,0.9664053751399776,0.0,0.9328107502799552,0.0,0.998127196200332,0.0,0.9652375434530708,0.0,0.0284430207529317,0.0,0.9823788546255506,0.0,0.9808359398128484,0.0,0.9932810750279956,0.0,0.9683908045977012,0.0
supervised_resnet18,50pct,5,1,42,0.9949653870358716,0.0,0.9955207166853304,0.0,0.9910414333706606,0.0,0.999481921972944,0.0,0.9955005624296964,0.0,0.0073174248024614,0.0,0.998112020138452,0.0,0.9983202687569988,0.0,0.9966405375139976,0.0,1.0,0.0
byol_e25_finetune,50pct,10,3,7 42 123,0.9733585063981539,0.017330303798886434,0.9701692173696653,0.019744748237004398,0.9958939902948861,0.0006465288568751806,0.9980971626915172,0.0004253726914155706,0.9768979017512193,0.01465947212997551,0.03599962164267483,0.007492388199616792,0.9899307740717432,0.004538138798570244,0.9892453222810021,0.005227363538969811,0.9947741694662188,0.0012930577137505533,0.9837164750957855,0.010879134762069455
simclr_e25_finetune,50pct,10,3,7 42 123,0.9672750157331654,0.002883936875365609,0.9631719461284662,0.0032234703196722856,0.9962672639044419,0.0006465288568751806,0.9986227490957768,0.0004173201765587448,0.9716086893899644,0.002446851318695387,0.03122414658519253,0.012704089992764686,0.9939165093350115,0.0025433932563419834,0.9937423039133663,0.0029948405669049543,0.9951474430757745,0.0006465288568753728,0.9923371647509578,0.006636209990685345
supervised_resnet18,50pct,10,3,7 42 123,0.9930774071743235,0.004360102725157796,0.9925731423202171,0.004977157493013994,0.9966405375139976,0.0,0.9990786148545735,1.772267877638518e-05,0.9938681168635379,0.0038532290418141183,0.004714660647179367,0.0027801682002617095,0.9930774071743235,0.004360102725157796,0.9925731423202171,0.004977157493013994,0.9966405375139976,0.0,0.9885057471264368,0.009954314986027987
simclr_e25_finetune,50pct,25,1,42,0.9943360604153556,0.0,0.9940099239294128,0.0,0.9966405375139976,0.0,0.9991730058822772,0.0,0.994969256567915,0.0,0.008841349208036,0.0,0.9842668344870988,0.0,0.9825156710558494,0.0,0.9966405375139976,0.0,0.9683908045977012,0.0
supervised_resnet18,50pct,25,1,42,0.9943360604153556,0.0,0.9940099239294128,0.0,0.9966405375139976,0.0,0.999070033852055,0.0,0.994969256567915,0.0,0.0012387505547382,0.0,0.9905601006922592,0.0,0.9896995791018264,0.0,0.9966405375139976,0.0,0.9827586206896552,0.0
